Plot,Sphagnum sp,Sticherus_cryptocarpus,Uncinia_tenuis,Juncus_procerus,Juncus_planifolius,Juncus_stipulatus,Baccharis_patagonica,Berberis_microphylla,Gaultheria_mucronata,Blechnum_penna-marina,Myrteola_nummularia,Philesia_magellanica,Gaultheria_insana,Blechnum_cordatum,Blechnum_magellanicum,Podocarpus_nubigenus,Carex_magellanica,Empetrum_rubrum,Tepualia_stipularis,Nothofagus_nitida,Schoenus_rhynchosporoides,Centella_asiatica,Hypochaeris_radicata,Carex_distenta,Agrostis_capillaris,Gaultheria_antarctica,Oreobolus_obtusangulus,Polypogon_linearis,Juncus_acuminatus,Eleocharis_melanostachys,Lotus_pedunculatus,Holcus_lanatus,Uncinia_sp.,Luma_apiculata,Symphyotrichum_vahlii,Leontodon_saxatilis,Danthonia_chilensis,Leptinella_scariosa,Ranunculus_repens,Viola_sp.,Prunella_vulgaris,Anagallis_alternifolia,Plantago_lanceolata
1,10,50,0,20,0,0,5,0,0,1,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,40,20,0,0,0,10,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,20,1,20,1,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,70,0,0,0,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
5,10,50,1,0,0,0,25,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,10,0,60,0,1,1,0,5,1,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,30,35,0,10,0,1,0,0,10,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,65,0,0,0,0,25,0,1,1,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,30,0,0,0,20,0,0,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,65,0,0,0,0,30,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,80,1,0,0,0,20,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,20,0,0,0,0,20,0,20,1,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,20,0,25,15,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,90,0,0,0,0,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,20,0,0,0,0,20,0,0,1,1,0,0,1,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,60,5,0,5,0,25,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,45,0,0,0,15,0,1,5,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,5,30,0,0,0,10,0,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,0,0,1,5,25,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,5,1,1,0,0,1,0,0,1,0,0,1,10,0
20,5,0,0,5,1,15,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,20,0,0,0,0,1,0
21,0,1,1,1,0,0,1,1,25,5,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,15,20,0,0,0,0,1,20,0,0,0,0,0,0
22,1,1,25,0,0,0,20,1,1,5,20,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,15,0,10,0,1,0,20,0,15,10,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
