N,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41
1,0.016418910808623,0.026455625585143,0.037468150575355,0.049514033862439,0.060000477702879,0.067580684580255,0.072819048799785,0.075495720230221,0.076133998595939,0.075232425017799,0.074184650318878,0.072567466914028,0.069992062872985,0.066304676298896,0.062397204543526,0.059678224107077,0.059230649668463,0.060968687965491,0.064278388310899,0.068827194082422,0.074285721833243,0.08213772489925,0.100513936511064,0.124682956196212,0.154529687788333,0.184357301977737,0.205849258482393,0.216587675958646,0.220782888129913,0.225427359265032,0.229142207518024,0.232480936542558,0.238255410713286,0.23525045273619,0.232107520389485,0.235919561831291,0.2424277446813,0.249190330017468,0.248588249356894,0.249327168311917,0.251568566255487
2,0.011912669718652,0.020493475606955,0.031661647556794,0.044381949922323,0.055799134296258,0.064138581541772,0.069822343028093,0.0727287342137,0.073454679498792,0.072502894758815,0.07105982190903,0.068640415785675,0.064882656060007,0.059802873150205,0.054578832334659,0.050625072319939,0.049759736510764,0.05101174699492,0.053513898606509,0.057101864308155,0.061613080606564,0.069085992832929,0.089452034744663,0.116781254101878,0.150626980459991,0.184429535259026,0.209161018915516,0.222632238350311,0.228852328862242,0.234056829609381,0.236312014508007,0.237962162703665,0.245057429600738,0.239993342233248,0.23472891625827,0.237494929335109,0.243940647676635,0.251261612945067,0.247526567667149,0.245652308289804,0.246728105449487
3,0.000577777896557,0.00337164664523,0.009714629913514,0.017997429174141,0.025831021103222,0.031719229023365,0.035719069424502,0.037880431735324,0.038586678960226,0.038221923254925,0.037183761498966,0.035193934593934,0.03208084639204,0.028029253807569,0.023953506154743,0.020647764578664,0.019946963886359,0.021374117405307,0.024080355696442,0.027829837824138,0.032385771228111,0.038521806505062,0.051602940241206,0.071234632904293,0.106105217589059,0.155603164094717,0.20331588299604,0.232047132088565,0.245064709446195,0.255904463411214,0.260621241629115,0.261786151690108,0.260178999380146,0.253845188153744,0.248295394158574,0.252999538040638,0.25609264212479,0.263635057156955,0.257085449854666,0.253429024469772,0.241809262245468
4,0.006922300750065,0.016711720752591,0.03002841381842,0.045150442988542,0.058482330751968,0.067986914558866,0.07427670382931,0.077413464579801,0.078144484056554,0.076970586360018,0.075134259940287,0.072107081288565,0.067573095125164,0.061675277545268,0.055765956634987,0.051366147377483,0.050410297883748,0.051650726035863,0.054127890972882,0.057706027642547,0.062247825769119,0.069735935851728,0.089758770071302,0.116644886088411,0.15007798524037,0.18456359619959,0.210778140921221,0.224943290448619,0.230618939229756,0.233998943910419,0.235580222609473,0.237451402403352,0.243645130280515,0.238619247974575,0.233060263566511,0.234963978899312,0.240242762782202,0.248464939865658,0.246684670720111,0.245940430997992,0.245484117918469
5,0.018439294245366,0.027679892067849,0.039521191277476,0.052901629221737,0.064640013509484,0.073040177300753,0.078688830983889,0.081400346364993,0.081846870922386,0.080460538375246,0.078768502659186,0.076285470207867,0.072687261287214,0.067984952756927,0.063305842076256,0.060201370557617,0.059595548046595,0.060706275613262,0.062974171842796,0.06627062713057,0.070470663629239,0.077373408497611,0.095580815040744,0.119687557313162,0.148485213477406,0.179599204433885,0.204546244546619,0.217775737578992,0.223125770019902,0.22668166896826,0.229377068426441,0.232950899176362,0.239959509769403,0.235905878486024,0.231579229849233,0.233933425711098,0.240616948630746,0.247748085634971,0.247149118065812,0.248177994902815,0.253583911008848
6,0.027975718954933,0.038802985065858,0.049101668697537,0.058998574831565,0.066874896684367,0.07252983115309,0.076808557176241,0.079176497056417,0.079828948083876,0.079263978300957,0.079061951684196,0.078799116426126,0.077911114500781,0.075727386874842,0.072909976924818,0.071146085861835,0.071334898528372,0.073299861867266,0.076695186377373,0.081334971355262,0.08703236175665,0.095726627128329,0.116180329388416,0.140604994982821,0.16369116083035,0.184126755084574,0.19938686103071,0.208618077716777,0.212133208708917,0.21764609321273,0.222604970618255,0.227037100815398,0.234532958782855,0.231428047534342,0.22829360066005,0.232314214188822,0.23887041347367,0.24848725727378,0.245494958245511,0.244708507974667,0.242084633454871
7,0.030747433169302,0.040449643395377,0.05063405902544,0.060678282022384,0.068403932509561,0.073590158715531,0.077232198453813,0.078989814885931,0.079218618593452,0.078270403228628,0.07777239997829,0.077286854761147,0.076393693300461,0.074724316852396,0.07287355674231,0.07228893040159,0.073030607479922,0.075792871516589,0.080328443805908,0.086178603661785,0.09288386171097,0.101393970692597,0.117804063106764,0.138217557741215,0.161880902626404,0.185085579838406,0.202181765297694,0.211361109219949,0.215145011497927,0.219555738390765,0.224036892930833,0.228137043706777,0.232400818820827,0.229866404259351,0.227341797085709,0.230680788539922,0.237425673737247,0.246208110023216,0.242835322840656,0.24206721882808,0.237909840618802
8,0.01300202532141,0.021685817844835,0.034366214470552,0.049096189048276,0.062311762700885,0.071812506692197,0.078091617424111,0.08110219324323,0.081675462675147,0.080363978229747,0.078684388709318,0.076190703132542,0.072604974524957,0.068012804479355,0.063573672341659,0.060726158747557,0.060178284252323,0.061295236192318,0.06354080473222,0.066741842576462,0.070726721265404,0.077464034419479,0.096525546797901,0.121931358346181,0.152733229418986,0.184339475998212,0.207942186288558,0.219956725244307,0.224431641156421,0.226519129253142,0.228039301754777,0.231198480480898,0.239806695728644,0.234620296315346,0.229055767509906,0.231683961196291,0.23918451977991,0.246336961169284,0.247499295926749,0.248715093708809,0.25391929387916
9,0.035889781297067,0.04586342061018,0.054663160236203,0.062207667361473,0.06754232309753,0.071178382450775,0.074093934299603,0.075634996908456,0.07586844915537,0.075116656177912,0.075096623117296,0.075497260788995,0.07578914083432,0.075443258625596,0.074924706029546,0.075242928019441,0.076869984483087,0.079648459349583,0.083698598063847,0.088979651826905,0.095451483895692,0.104920530195535,0.124985653124277,0.148636952849925,0.171243002331801,0.191071306706146,0.204986327107149,0.212263459963946,0.215782663720369,0.220556605624697,0.224709240162603,0.228532164892072,0.234597921407842,0.229756135460395,0.22480300241928,0.227523449677765,0.232954386515958,0.242273243712713,0.238049963798888,0.234704866407109,0.229721224733141
10,0.009799314632224,0.020135778989989,0.033052280997065,0.047679100138811,0.060762845563287,0.070255592883747,0.076649546868059,0.079849288440437,0.080584721523694,0.079445988192978,0.077885396343609,0.075509006979969,0.072026511806651,0.067488439685933,0.063006425587937,0.060052430562436,0.059374314617646,0.060174455301351,0.062001979688607,0.06480822021867,0.068539253891168,0.075232713190242,0.094250014189756,0.119679280003148,0.150767230950083,0.182862255516164,0.206631842545492,0.218506015692569,0.224129938282724,0.227122965896313,0.229173627491203,0.232445138661031,0.239017722848609,0.235503914014161,0.231519469611991,0.232926066131362,0.239656258763684,0.24977396544684,0.249303329879119,0.249311486759378,0.255045445116792
