N,Coordenada_X_WGS84,Coordenada_Y_WGS84,Altura,Biomasa,Carbono,Riqueza
1,610665,5362615,153,1.330583136,13.49684825,7
2,610725,5362615,54,0.812992632,8.835885445,5
3,610545,5362675,52,0.946194721,12.37785718,8
4,610605,5362675,25,0.333636623,18.26147603,7
5,610665,5362675,90,2.374039985,16.80755823,6
6,610725,5362675,130,1.014241504,6.237896107,8
7,610785,5362675,4,0.369787826,12.08133603,7
8,610485,5362735,48,1.48071866,14.04253336,7
9,610545,5362735,12,0.364798951,6.901882104,6
10,610605,5362735,135,3.532831526,12.66468571,6
11,610665,5362735,172,7.219704724,13.60562755,8
12,610725,5362735,2,1.062835955,14.43896335,7
13,610785,5362735,31,0.599087221,3.965905225,10
14,610485,5362795,82,2.35366992,26.09083329,5
15,610545,5362795,48,1.935263764,13.18724216,7
16,610605,5362795,8,0.169324138,8.608705295,6
17,610665,5362795,15,0.153456,10.25203282,9
18,610725,5362795,23,0.121865378,17.7285341,6
19,610785,5362795,13,0.076069825,3.109507859,16
20,610845,5362795,1,0.088571429,23.26036816,16
21,610485,5362855,4,0.249649577,15.71848223,15
22,610545,5362855,8,0.858235792,15.78447954,9
23,610605,5362855,22,0.935482292,13.763662,11
24,610665,5362855,9,0.251495798,5.200290981,6
25,610725,5362855,37,1.107845508,9.458684723,11
26,610785,5362855,81,1.011661607,7.579581911,13
27,610485,5362915,5,0.16816,6.2438495,12
28,610545,5362915,11,0.41205,9.175196419,5
29,610605,5362915,6,0.079437751,8.865776781,9
30,610665,5362915,20,0.143884615,11.84381566,8
31,610725,5362915,25,0.550368071,13.01874643,10
32,610785,5362915,4,0.05284,8.754715634,13
35,610605,5362975,0,0.069691139,12.27990597,13
36,610665,5362975,9,0.15729292,11.30368008,12
37,610725,5362975,60,0.480065234,8.640252175,8
38,610785,5362975,5,0.234314856,10.7415775,13
